sa1_code_2021,lon,lat
80101101806,149.08969731743366,-35.23276143944793
80101101807,149.089502417153,-35.22892982995654
80101101808,149.0940813897693,-35.22897525461624
80101101809,149.0920134706802,-35.23230525449524
80101101810,149.08929203889994,-35.226672419664155
80101101902,149.00128807184808,-35.21067700933216
80101101904,149.0050846145469,-35.214698775959214
80101101905,149.00085444428066,-35.21545786237824
80101101906,149.02119668339677,-35.20858356967591
80101101907,149.019701205841,-35.2123566347617
80101101908,149.01627553440397,-35.20728600761311
80101101909,149.0243228205855,-35.205719739403385
80101101910,149.00888683998812,-35.21540916863607
80101101911,149.01591323127346,-35.21713478428836
80101101912,149.0110230597849,-35.20896902955727
80101101913,149.01304734859895,-35.21303748426764
80101101914,149.00486438626672,-35.20928844943712
80101101915,148.99975889758775,-35.20520744986122
80101101916,149.00425668765513,-35.20673112481257
80101101917,149.00828314426937,-35.20693119488637
80101101918,149.00639755533524,-35.210388569494555
80101101919,149.00624881318876,-35.20231749961443
80101102001,149.056062064763,-35.25424153634759
80101102002,149.0647253194467,-35.2497152619064
80101102003,149.06057223720833,-35.25429696436462
80101102004,149.05701511439742,-35.249731965337986
80101102005,149.07094091650941,-35.25209032489362
80101102006,149.06520266442575,-35.25373347034478
80101102007,149.0611460396893,-35.251098088832826
80101102008,149.0598932114648,-35.24651396433202
80101102101,149.07575611460442,-35.2186358247577
80101102102,149.07590401592773,-35.22279988434195
80101102103,149.07147960923584,-35.21916450152207
80101102104,149.07663494812496,-35.21492112432612
80101102105,149.08211979445014,-35.213705199527126
80101102201,149.0523183349181,-35.20498066129693
80101102202,149.05562004962582,-35.205092855922636
80101102203,149.05123014722395,-35.21516947989179
80101102204,149.05097786615624,-35.208328494941405
80101102205,149.05370775377816,-35.211686039407326
80101102206,149.0579649345883,-35.20667330890422
80101102207,149.06105009961698,-35.20854560695168
80101102208,149.05754592440718,-35.202227454292085
80101102301,149.0457469870366,-35.23680802972454
80101102302,149.0546057052446,-35.23819000996195
80101102303,149.05364149853438,-35.24125895452327
80101102304,149.05066302461546,-35.23783633897715
80101102305,149.04472201648392,-35.240983009413945
80101102306,149.04959747446642,-35.24165711691409
80101102307,149.05031991668594,-35.234568974525
80101102401,149.04092039021896,-35.23117201478136
80101102402,149.03705922990522,-35.23104751340256
80101102403,149.0330681399637,-35.23827837335624
80101102404,149.0371712588043,-35.239282534826735
80101102405,149.0406760951741,-35.23774704475391
80101102406,149.03774111678283,-35.23566100446925
80101102407,149.04162395973265,-35.23476526693358
80101102408,149.04479649131255,-35.23289206432858
80101102501,149.06310749134926,-35.196774469467236
80101102502,149.06302910974748,-35.20245821578356
80101102503,149.0663380549948,-35.204418511421146
80101102504,149.06712529269575,-35.195198954454376
80101102505,149.0689114516027,-35.199361034721775
80101102506,149.05998747438255,-35.19577071280815
80101102601,149.05123255560724,-35.25591302430803
80101102602,149.04669050464747,-35.24919617440722
80101102603,149.04704073352224,-35.25368249983694
80101102604,149.05200767323836,-35.251392959863466
80101102605,149.0516817348089,-35.24705494139925
80101102606,149.04866856975028,-35.24608305936409
80101102607,149.05351686447526,-35.245826649881266
80101111101,149.0084131924748,-35.255150189398066
80101114201,148.9760801044023,-35.2185045098228
80101114301,148.98297033175183,-35.23210362460862
80101114302,148.99653924937115,-35.22981581462792
80101114401,148.9955465948126,-35.21012935134234
80103103102,149.17297892278359,-35.370509884537846
80103103103,149.1682593242995,-35.383378904481035
80103103201,149.30645301787797,-35.30473964491123
80103111301,149.2271712448739,-35.340004089677706
80103111302,149.15423702426128,-35.34777249991588
80103111303,149.20017569199644,-35.347861324805145
80103111304,149.182149731891,-35.35700731972245
80103111305,149.13820103732604,-35.348548489845925
80103111306,149.2117714151785,-35.33887416933738
80103111307,149.16697470649368,-35.33556980949437
80103111308,149.14294622971093,-35.3765883717781
80103111309,149.16971363925228,-35.35062774473558
80103111401,149.1964887527455,-35.30340674985286
80103111501,149.1719223845335,-35.28783203968098
80103111502,149.19326100442007,-35.33083770932661
80103111503,149.17814713453072,-35.29226150369979
80103111504,149.22497050448015,-35.24504522996789
80103111505,149.1738211598378,-35.250969764477595
80103111506,149.22819449425447,-35.30430977244654
80103111507,149.17369200455784,-35.28305753087498
80104103401,149.12693747520348,-35.17062250462062
80104103402,149.11993898109932,-35.17181365482829
80104103403,149.12320956379247,-35.17069346992741
80104103404,149.13670733933287,-35.16748892669012
80104103405,149.13408582985664,-35.16671495677106
80104103406,149.12510866518517,-35.17608737967306
80104103407,149.11952868996636,-35.16773579997759
80104103408,149.13007831871178,-35.166655984415954
80104103409,149.12599323444883,-35.16388580632557
80104103410,149.13023314963917,-35.16983900947419
80104103411,149.13659058080378,-35.17156248939212
80104103412,149.132202174097,-35.17423633932718
80104103413,149.127262003278,-35.17413931432002
80104103414,149.12197441710768,-35.16885746492125
80104103501,149.14057006091863,-35.16429628992391
80104103505,149.14698267379453,-35.15909559466002
80104103506,149.13657877963593,-35.16397235589914
80104103507,149.1380682016483,-35.15557571433045
