sa1_code_2021,pairs,pairs_within_10_min,pairs_within_15_min,pct_within_10_min,pct_within_15_min,lon,lat
80101100704,1,0,0,0.0,0.0,149.06313578199246,-35.21289787999735
80101100706,1,0,1,0.0,1.0,149.06409276355288,-35.21011168487037
80101100707,1,0,0,0.0,0.0,149.06872477270352,-35.20840682435237
80101100708,1,0,0,0.0,0.0,149.08018237991058,-35.209389059752546
80101100709,1,0,0,0.0,0.0,149.07405051930704,-35.20932215038727
80101100711,2,0,0,0.0,0.0,149.07375950917245,-35.20297572691937
80101100712,4,0,0,0.0,0.0,149.07839476213954,-35.211192169351435
80101100713,1,0,0,0.0,0.0,149.07786605688247,-35.20547244492648
80101100802,2,0,0,0.0,0.0,149.04842713943282,-35.22321613853236
80101100803,2,0,0,0.0,0.0,149.04474715493882,-35.22197183653225
80101100807,1,0,0,0.0,0.0,149.05302757998774,-35.2287784895767
80101100811,2,0,0,0.0,0.0,149.04525777531262,-35.22699866989615
80101100812,1,0,0,0.0,0.0,149.048858609247,-35.22756474484177
80101100901,1,0,0,0.0,0.0,149.0377878992462,-35.205802754993364
80101100904,2,0,0,0.0,0.0,149.05029108795182,-35.19964583977584
80101100905,1,0,0,0.0,0.0,149.04677879915846,-35.20118521455452
80101100907,1,0,1,0.0,1.0,149.04508443459878,-35.20760085698316
80101100908,1,0,1,0.0,1.0,149.04588212240137,-35.19648902449987
80101100910,1,0,0,0.0,0.0,149.0391551548716,-35.208395350811124
80101101001,2,0,0,0.0,0.0,149.03774107995196,-35.18838858933651
80101101002,3,0,1,0.0,0.3333333333333333,149.0355420382724,-35.191850119277454
80101101003,1,0,0,0.0,0.0,149.053923849808,-35.19025498940266
80101101004,1,0,1,0.0,1.0,149.05212718779873,-35.19185000475357
80101101005,2,0,0,0.0,0.0,149.05306208966772,-35.195469484949776
80101101101,2,0,0,0.0,0.0,149.0937972059325,-35.205746274307344
80101101103,2,0,0,0.0,0.0,149.10253050136055,-35.20895121970813
80101101109,2,0,0,0.0,0.0,149.1014407092753,-35.2152826226023
80101101301,1,0,1,0.0,1.0,149.0405250569338,-35.242477569898014
80101101302,1,1,1,1.0,1.0,149.04317553977288,-35.2443496927602
80101101303,2,0,1,0.0,0.5,149.03683835843134,-35.25252358426606
80101101304,2,1,1,0.5,0.5,149.0424933196202,-35.251703496289466
80101101305,1,0,0,0.0,0.0,149.03021356438364,-35.24345357943776
80101101306,1,1,1,1.0,1.0,149.0371979145137,-35.24922767996737
80101101308,1,0,1,0.0,1.0,149.03175960002193,-35.249034099506034
80101101310,1,0,0,0.0,0.0,149.03388464926812,-35.24269677835544
80101101503,1,0,0,0.0,0.0,149.0079328255631,-35.22531966959219
80101101509,1,0,0,0.0,0.0,149.01029482433017,-35.22014261964309
80101101606,1,0,0,0.0,0.0,149.11365402960504,-35.22561487872029
80101101608,1,0,0,0.0,0.0,149.12020497944147,-35.23166182000226
80101101609,1,0,1,0.0,1.0,149.09526390416153,-35.23222096578067
80101101611,1,0,1,0.0,1.0,149.10059359436914,-35.23076750585804
80101101612,1,0,0,0.0,0.0,149.10834899635535,-35.2201722893352
80101101613,1,1,1,1.0,1.0,149.10399094731517,-35.221711724835885
80101101619,3,1,1,0.3333333333333333,0.3333333333333333,149.10411814426786,-35.22871103997755
80101101701,1,0,0,0.0,0.0,149.0235580039358,-35.21878271983811
80101101702,2,0,0,0.0,0.0,149.03981388946943,-35.218610621665185
80101101704,1,0,0,0.0,0.0,149.02929089846714,-35.221349094958526
80101101706,3,0,0,0.0,0.0,149.03169103970112,-35.20975308475134
80101101902,1,0,0,0.0,0.0,149.00128807184808,-35.21067700933216
80101101907,2,0,0,0.0,0.0,149.019701205841,-35.2123566347617
80101101908,1,0,0,0.0,0.0,149.01627553440397,-35.20728600761311
80101101909,2,0,0,0.0,0.0,149.0243228205855,-35.205719739403385
80101101911,1,0,0,0.0,0.0,149.01591323127346,-35.21713478428836
80101101913,2,0,0,0.0,0.0,149.01304734859897,-35.21303748426764
80101101918,1,0,0,0.0,0.0,149.00639755533524,-35.210388569494555
80101102001,1,0,0,0.0,0.0,149.056062064763,-35.25424153634759
80101102002,1,0,0,0.0,0.0,149.0647253194467,-35.2497152619064
80101102004,1,0,0,0.0,0.0,149.05701511439742,-35.249731965337986
80101102005,1,1,1,1.0,1.0,149.0709409165094,-35.25209032489362
80101102006,1,0,0,0.0,0.0,149.06520266442575,-35.25373347034478
80101102007,1,0,0,0.0,0.0,149.0611460396893,-35.251098088832826
80101102008,1,0,0,0.0,0.0,149.0598932114648,-35.24651396433202
80101102102,1,0,0,0.0,0.0,149.07590401592773,-35.22279988434195
