sa1_code_2021,school,walk_time_sec
80104104426,Harrison School,807.3172214188991
80104104602,Harrison School,3999.144987881161
80104104603,Amaroo School,3497.394593135851
80104104612,Amaroo School,3673.952638295309
80104104613,Amaroo School,3360.668221820268
80104104614,Amaroo School,3681.647262437142
80104104631,Amaroo School,5481.723075115107
80104111601,Amaroo School,2743.9038322035676
80104111801,Amaroo School,4263.403084885014
80104112001,Amaroo School,5894.5805162740735
80104112003,Amaroo School,5566.03919260564
80105105001,Ainslie School,686.3137641863573
80105105001,Campbell High School,2573.57570395809
80105105001,Dickson College,2529.8883611707283
80105105001,North Ainslie Primary School,557.2952827277961
80105105002,Ainslie School,1757.1702420228778
80105105002,Campbell High School,1400.2241200261396
80105105004,North Ainslie Primary School,903.2188339670304
80105105005,Campbell High School,2662.712572817131
80105105005,Dickson College,3184.1650911899696
80105105005,North Ainslie Primary School,533.318582987385
80105105006,Ainslie School,2021.9716058423078
80105105006,Campbell High School,912.3661072424303
80105105007,Ainslie School,1973.4280804527582
80105105007,Campbell High School,1065.5150806303266
80105105008,Campbell High School,2417.9001991707637
80105105008,North Ainslie Primary School,551.7652108005359
80105105011,Ainslie School,971.2821907540148
80105105011,Campbell High School,2343.467689145996
80105105011,Dickson College,2890.977506485802
80105105011,North Ainslie Primary School,654.4952028340581
80105105012,Campbell High School,3044.006308229156
80105105012,North Ainslie Primary School,475.54018315765836
80105105013,Ainslie School,1668.1791740531105
80105105013,Campbell High School,1458.6051744344563
80105105013,Campbell Primary School,2745.272032064788
80105105013,Dickson College,2668.975558672814
80105105014,Campbell High School,2714.0370851857742
80105105014,Dickson College,2756.7202258390994
80105105014,North Ainslie Primary School,114.27654970459479
80105105016,Ainslie School,1331.8391783521956
80105105017,Ainslie School,1460.6400236276172
80105105017,Campbell High School,2427.340972439247
80105105102,Ainslie School,2144.595989429031
80105105102,Campbell High School,1070.994153797279
80105105109,Ainslie School,1620.6689644089752
80105105110,Ainslie School,2264.6953109739475
80105105111,Ainslie School,2245.8399521430606
80105105111,Campbell High School,1557.2562820636174
80105105112,Ainslie School,1534.4672968047414
80105105115,Ainslie School,2326.749369470477
80105105116,Ainslie School,1911.0801774373647
80105105117,Ainslie School,1791.6651210597688
80105105302,Ainslie School,2825.2830563089924
80105105404,Ainslie School,284.3352488319993
80105105404,Dickson College,2372.823236352568
80105105404,North Ainslie Primary School,599.2648735175006
80105105405,North Ainslie Primary School,624.626418340415
80105105406,Dickson College,2612.6194880376624
80105105406,North Ainslie Primary School,609.8345113112156
80105105501,Dickson College,2629.03208361138
80105105501,Lyneham Primary School,2640.8982583316806
80105105501,North Ainslie Primary School,1592.2140059924297
80105105503,Dickson College,2166.950040231092
80105105503,Lyneham Primary School,2359.562194529666
80105105503,North Ainslie Primary School,1896.8269924365482
80105105504,Dickson College,1959.835816266133
80105105504,Lyneham Primary School,2031.4008062699393
80105105504,North Ainslie Primary School,1541.4379874774575
80105105506,North Ainslie Primary School,1418.354623941346
80105105507,Campbell High School,4188.90097366807
80105105507,Dickson College,2941.2914205105735
80105105508,Dickson College,2604.6350491539083
80105105508,Lyneham Primary School,2797.2472034524826
80105105508,North Ainslie Primary School,1972.0202912706493
80105105509,Dickson College,1857.1433824984076
80105105509,North Ainslie Primary School,1916.0980588522052
80105105601,Campbell High School,3767.3116678692963
80105105601,North Ainslie Primary School,1223.5399381958202
80105105602,Campbell High School,3798.5582214274573
80105105602,Dickson College,3792.7645425052424
80105105602,North Ainslie Primary School,1254.7864917539812
80105105603,North Ainslie Primary School,1830.8060242522417
80105105604,Campbell High School,4266.1249597487495
80105105604,Dickson College,3942.362743592649
80105105604,North Ainslie Primary School,1761.0934267812618
80105105605,Ainslie School,981.4297187081246
80105105605,Campbell High School,3423.710072962718
80105105605,North Ainslie Primary School,1571.44323332595
80105105606,North Ainslie Primary School,1903.0045322835385
80105105607,Dickson College,4321.333649860873
80105105607,North Ainslie Primary School,2050.997221992788
80105105701,Lyneham Primary School,2241.597379730579
80105105702,Lyneham Primary School,1579.7698818003855
80105105703,Lyneham Primary School,1653.0880291546412
80105105704,Lyneham Primary School,1760.9730687480449
80105105705,Lyneham Primary School,1836.795071028309
80105105708,Lyneham Primary School,752.9336038187369
80105105709,Lyneham Primary School,199.30345040615492
80105105711,Lyneham Primary School,1331.0364037656702
80105105712,Lyneham Primary School,1157.4620807178976
80105105713,Lyneham Primary School,123.46752922423296
80105105714,Lyneham Primary School,455.4191340776449
80105105715,Lyneham Primary School,1180.2985818221039
80105105801,Dickson College,1673.5993197696669
80105105801,Lyneham Primary School,1463.070502058677
80105105802,Lyneham Primary School,475.91611089229485
80105105803,Lyneham Primary School,876.3399654782662
80105105804,Dickson College,992.9560113040195
80105105804,Lyneham Primary School,782.4271935930293
80105105805,Lyneham Primary School,582.9937645225301
80105105806,Lyneham Primary School,413.98709623629355
80105105807,Lyneham Primary School,737.4294796165277
80105105808,Dickson College,1457.6644355667336
80105105808,Lyneham Primary School,1247.1356178557435
80105105809,Lyneham Primary School,767.0128715738225
80105105812,Lyneham Primary School,1539.7835874454736
80105106006,Dickson College,2401.158185515227
80105106101,Dickson College,3220.160558018621
80105106107,Dickson College,3549.823097768948
80105106108,Dickson College,3756.558915439025
80105106109,Dickson College,3698.823894776665
80105106110,Dickson College,3290.3950251862216
80105106112,Dickson College,3048.14377222806
80105106114,Campbell High School,5681.461296842343
80105106119,Campbell High School,5255.658258969495
80105106119,Dickson College,3867.0649758797285
80105112401,Campbell High School,1784.3940529961285
80105112401,Campbell Primary School,316.15428548987586
80105112402,Campbell Primary School,1022.604644852969
80105112403,Campbell Primary School,668.0674322859164
80105112404,Campbell Primary School,539.2565503890861
80105112405,Campbell High School,143.6456834956441
80105112405,Campbell Primary School,1753.4972953192646
80105112406,Campbell Primary School,507.8041013799951
80105112407,Campbell Primary School,870.8352446502886
80105112501,Campbell High School,3646.511086467638
80105112501,Campbell Primary School,2254.009960527548
80105112701,Ainslie School,1840.9437083670493
80105112701,Campbell High School,1048.2450227200725
80105112702,Ainslie School,1862.3757062084196
80105112702,Campbell High School,1384.8005003484918
80105112703,Ainslie School,1505.6199522046857
80105112704,Ainslie School,1506.5259628846447
80106106202,Forrest Primary  School,1033.9592894689288
80106106202,Telopea Park School,1670.8926780007973
80106106204,Alfred Deakin High School,1199.7262909406286
80106106204,Telopea Park School,2843.2837934137456
80106106205,Alfred Deakin High School,1897.175828714902
80106106205,Forrest Primary  School,1524.7322377395508
