sa1_code_2021,school,walk_time_sec,walk_time_min,within_10_min,within_15_min,within_20_min,lon,lat
80101101002,Fraser Primary School,879.094385483068,14.651573091384467,0,1,1,149.0355420382724,-35.191850119277454
80101101002,Melba Copland Secondary School,2864.8474869723955,47.747458116206595,0,0,0,149.0355420382724,-35.191850119277454
80101101002,University of Canberra Senior Secondary College Lake Ginninderra,11587.001153013343,193.11668588355573,0,0,0,149.0355420382724,-35.191850119277454
80101101003,Fraser Primary School,923.966251908619,15.399437531810317,0,0,1,149.053923849808,-35.19025498940266
80101101004,Fraser Primary School,783.0325784442341,13.050542974070568,0,1,1,149.05212718779873,-35.19185000475357
80101101005,Fraser Primary School,1367.2577453245906,22.787629088743177,0,0,0,149.05306208966772,-35.195469484949776
80101101005,Melba Copland Secondary School,2057.618944304837,34.29364907174728,0,0,0,149.05306208966772,-35.195469484949776
80101101101,University of Canberra High School Kaleen,2219.850389778549,36.99750649630915,0,0,0,149.0937972059325,-35.205746274307344
80101101101,University of Canberra Senior Secondary College Lake Ginninderra,6535.043419041095,108.91739031735159,0,0,0,149.0937972059325,-35.205746274307344
80101101103,University of Canberra High School Kaleen,1851.461306940092,30.857688449001536,0,0,0,149.10253050136055,-35.20895121970813
80101101103,University of Canberra Senior Secondary College Lake Ginninderra,6020.009075098316,100.33348458497194,0,0,0,149.10253050136055,-35.20895121970813
80101101109,University of Canberra High School Kaleen,1098.8430319051697,18.31405053175283,0,0,1,149.1014407092753,-35.2152826226023
80101101109,University of Canberra Senior Secondary College Lake Ginninderra,5910.13948549367,98.50232475822783,0,0,0,149.1014407092753,-35.2152826226023
80101101301,Belconnen High School,667.4903788422099,11.124839647370164,0,1,1,149.0405250569338,-35.242477569898014
80101101302,Belconnen High School,568.7858193342455,9.479763655570759,1,1,1,149.04317553977288,-35.2443496927602
80101101303,Belconnen High School,687.7716791392918,11.462861318988196,0,1,1,149.03683835843134,-35.25252358426606
80101101303,Canberra High School,3473.4235665897363,57.8903927764956,0,0,0,149.03683835843134,-35.25252358426606
80101101304,Belconnen High School,592.8751357818792,9.88125226303132,1,1,1,149.0424933196202,-35.251703496289466
80101101304,Canberra High School,3052.137865919844,50.8689644319974,0,0,0,149.0424933196202,-35.251703496289466
80101101305,Belconnen High School,980.5694284522418,16.342823807537364,0,0,1,149.03021356438364,-35.24345357943776
80101101306,Belconnen High School,483.9994648293656,8.066657747156093,1,1,1,149.0371979145137,-35.24922767996737
80101101308,Belconnen High School,670.6981323456562,11.178302205760936,0,1,1,149.03175960002193,-35.249034099506034
80101101310,Belconnen High School,1045.395106294177,17.423251771569614,0,0,1,149.03388464926812,-35.24269677835544
80101101503,Belconnen High School,3653.754759414792,60.8959126569132,0,0,0,149.0079328255631,-35.22531966959219
80101101509,University of Canberra Senior Secondary College Lake Ginninderra,11658.495044211031,194.3082507368505,0,0,0,149.01029482433017,-35.22014261964309
80101101606,University of Canberra High School Kaleen,1758.7411894604031,29.312353157673385,0,0,0,149.11365402960504,-35.22561487872029
80101101608,University of Canberra Senior Secondary College Lake Ginninderra,3084.6312235006358,51.41052039167726,0,0,0,149.12020497944147,-35.23166182000226
